experiment,d,kappa,lambda2,theta_deg,method,trial,seed,run_seed,init_seed,eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,rotation_scheme,hisd_eta_selected,hisd_pilot_n,hisd_pilot_success_count,hisd_eta_selection_rule,converged,iterations,g_norm,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
rotated_quartic,10,10,0.2,30.0,DF-HiSD,5,5052,5052,100047,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,254,0.000989802647382021,17780,0.000989802647382021,1,True,True,-2.0,0.20002400875091553
rotated_quartic,10,10,0.2,30.0,DF-HiSD,6,6052,6052,100048,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,250,0.0009487619390711188,17500,0.0009487619390711188,1,True,True,-2.0,0.2000245600938797
rotated_quartic,10,10,0.2,30.0,DF-HiSD,7,7052,7052,100049,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,262,0.0009972830303013325,18340,0.0009972830303013325,1,True,True,-2.0,0.20003019273281097
rotated_quartic,10,10,0.2,30.0,DF-HiSD,8,8052,8052,100050,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,262,0.000996283139102161,18340,0.000996283139102161,1,True,True,-2.0,0.2000216543674469
rotated_quartic,10,10,0.2,30.0,DF-HiSD,9,9052,9052,100051,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,265,0.0009908332722261548,18550,0.0009908332722261548,1,True,True,-2.0,0.20001301169395447
rotated_quartic,10,10,0.2,30.0,DF-HiSD,10,10052,10052,100052,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,292,0.0009801381966099143,20440,0.0009801381966099143,1,True,True,-2.0,0.2000235617160797
rotated_quartic,10,10,0.2,30.0,DF-HiSD,11,11052,11052,100053,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,247,0.0009739577071741223,17290,0.0009739577071741223,1,True,True,-2.0,0.20001904666423798
rotated_quartic,10,10,0.2,30.0,DF-HiSD,12,12052,12052,100054,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,274,0.0009918890427798033,19180,0.0009918890427798033,1,True,True,-2.0,0.20002825558185577
rotated_quartic,10,10,0.2,30.0,DF-HiSD,13,13052,13052,100055,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,278,0.0009468322386965156,19460,0.0009468322386965156,1,True,True,-2.0,0.20002040266990662
rotated_quartic,10,10,0.2,30.0,DF-HiSD,14,14052,14052,100056,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,261,0.0009979550959542394,18270,0.0009979550959542394,1,True,True,-2.0,0.20002798736095428
rotated_quartic,10,10,0.2,30.0,DF-HiSD,15,15052,15052,100057,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,251,0.000944012776017189,17570,0.000944012776017189,1,True,True,-2.0,0.20002268254756927
rotated_quartic,10,10,0.2,30.0,DF-HiSD,16,16052,16052,100058,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,273,0.0009943596087396145,19110,0.0009943596087396145,1,True,True,-2.0,0.2000264972448349
rotated_quartic,10,10,0.2,30.0,DF-HiSD,17,17052,17052,100059,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,250,0.000982276862487197,17500,0.000982276862487197,1,True,True,-2.0,0.20002882182598114
rotated_quartic,10,10,0.2,30.0,DF-HiSD,18,18052,18052,100060,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,227,0.0009867670014500618,15890,0.0009867670014500618,1,True,True,-2.0,0.20002560317516327
rotated_quartic,10,10,0.2,30.0,DF-HiSD,19,19052,19052,100061,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,303,0.0009994268184527755,21210,0.0009994268184527755,1,True,True,-2.0,0.2000264823436737
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,0,142,142,1000042,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1765,0.0009978426387533545,123550,0.0009978426387533545,1,True,True,-2.0,0.02381610870361328
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,1,1142,1142,1000043,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1494,0.0009962156182155013,104580,0.0009962156182155013,1,True,True,-2.0,0.02513328194618225
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,2,2142,2142,1000044,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1136,0.000994664616882801,79520,0.000994664616882801,1,True,True,-2.0,0.022290576249361038
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,3,3142,3142,1000045,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1244,0.0009970931569114327,87080,0.0009970931569114327,1,True,True,-1.9999998807907104,0.022772381082177162
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,4,4142,4142,1000046,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1521,0.000993334804661572,106470,0.000993334804661572,1,True,True,-2.0,0.02327044866979122
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,5,5142,5142,1000047,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,2316,0.0009997874731197953,162120,0.0009997874731197953,1,True,True,-2.0,0.024182429537177086
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,6,6142,6142,1000048,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1024,0.0009925513295456767,71680,0.0009925513295456767,1,True,True,-2.0,0.024368738755583763
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,7,7142,7142,1000049,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1130,0.0009977061999961734,79100,0.0009977061999961734,1,True,True,-2.0,0.023275963962078094
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,8,8142,8142,1000050,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,947,0.0009898594580590725,66290,0.0009898594580590725,1,True,True,-1.9999998807907104,0.022306347265839577
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,9,9142,9142,1000051,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1706,0.0009974923450499773,119420,0.0009974923450499773,1,True,True,-2.0,0.02335178107023239
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,10,10142,10142,1000052,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,576,0.0009788470342755318,40320,0.0009788470342755318,1,True,True,-2.0,0.02254355698823929
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,11,11142,11142,1000053,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1417,0.0009993311250582337,99190,0.0009993311250582337,1,True,True,-2.0,0.02287004515528679
rotated_quartic,10,100,0.02,30.0,DF-ADAM-H,12,12142,12142,1000054,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,4,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,649,0.0009928641375154257,45430,0.0009928641375154257,1,True,True,-1.9999998807907104,0.024741332978010178
